UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
         Federal Express Corporation         ,2018-01-01T00:00:00Z,1,2686398,-514414,2171984,NA,3829,276,11234,NA,482685,NA,NA,NA,NA,NA,1673960,NA,265949,185849,136361,NA,77482,NA,41993,1933732
            Delta Air Lines Inc.             ,2005-01-01T00:00:00Z,4,3471094,-334371,3136723,27390,NA,5612,107365,18288,53054,NA,352,27390,107717,71342,975469,1949193,446591,1107340,179301,NA,207262,217571,263750,828797
            Delta Air Lines Inc.             ,2005-01-01T00:00:00Z,3,3460028,-194240,3265788,19562,NA,7714,106522,15911,49094,NA,251,19562,106773,65005,908908,2157826,438192,1132770,139640,NA,226714,250460,211797,848470
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,2,2898993,-24866,2874127,2184,NA,14654,9086,4924,24368,NA,66740,2184,75826,29292,793278,1958893,371877,785470,121505,NA,301689,197627,228163,771162
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,1,2753893,-213128,2540765,1090,NA,18629,9393,4493,22990,NA,66138,1090,75531,27483,710436,1707596,386757,699282,97383,NA,305328,196552,220887,725810
           American Airlines Inc.            ,2002-01-01T00:00:00Z,3,3974414,-1182266,2792148,4014,NA,13559,11895,7717,34189,NA,NA,4014,11895,41906,151312,2569462,627943,1124764,716459,NA,566122,448627,263086,26763
           American Airlines Inc.            ,2011-01-01T00:00:00Z,4,4047100,-604790,3442310,4607,0,1163,10986,86961,30814,0,71675,NA,NA,NA,621165,2614939,528963,1447766,697347,NA,365595,252007,197518,440367
            United Air Lines Inc.            ,2001-01-01T00:00:00Z,3,3931666,-1295207,2636459,1947,NA,27193,16890,3128,31172,NA,48563,1947,65453,34300,299455,2208111,524204,948730,375736,NA,464326,311631,362494,243984
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,4,144323,-19969,124354,756,NA,999,543,467,7043,NA,705,756,1248,7510,11034,102807,23470,59392,4065,NA,14503,15832,11436,7329
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,1,456593,-21710,434883,NA,NA,62,14956,229,11895,NA,1734,NA,16690,12124,49746,356261,50061,176946,23005,NA,30114,26148,27689,91066
