UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,1,472187,-11421,460766,41330,NA,13893,1677,1192,29504,NA,35,41330,1712,30696,32292,340843,76557,152794,29346,NA,41387,70022,45038,24315
            United Air Lines Inc.            ,2009-01-01T00:00:00Z,2,602411,1136,603547,673,NA,7688,2263,2694,38547,NA,110,673,2373,41241,39627,511945,77704,229283,50131,NA,68925,90366,33679,9714
           American Airlines Inc.            ,2002-01-01T00:00:00Z,2,620369,-65725,554644,501,NA,2235,2358,1827,28220,NA,NA,501,2358,30047,24131,495372,119605,182963,28177,NA,65914,85955,91010,4664
            United Air Lines Inc.            ,2000-01-01T00:00:00Z,1,2975769,214571,3190340,995,NA,42854,19649,3860,44395,NA,45252,995,64901,48255,248064,2785271,504937,798411,140812,NA,452611,315920,409913,204321
         Federal Express Corporation         ,2016-01-01T00:00:00Z,3,1135985,-72222,1063763,NA,926,253,1416,NA,419156,NA,NA,NA,NA,NA,642012,NA,125071,164887,86422,NA,63506,NA,19304,631461
            United Air Lines Inc.            ,2002-01-01T00:00:00Z,3,142331,-33093,109238,262,NA,547,1326,171,3644,NA,10,262,1336,3815,11320,91958,23437,42615,9491,NA,11989,22385,14824,9253
            United Air Lines Inc.            ,2018-01-01T00:00:00Z,4,1359804.15,-26474.02,1333330.13,4675,NA,15965.72,165.95,35431.09,122920.01,NA,22789.13,NA,NA,NA,60762.03,1070621.21,164096.26,552829.16,151781.05,NA,99357.07,172898.93,89138.64,22960.63
               JetBlue Airways               ,2014-01-01T00:00:00Z,1,1108262.88,-40965.13,1067297.76,997.48,0,0,4755.23,14870.17,2903.6,0,30804.05,NA,NA,NA,40136.49,972830.73,193992.68,547387.97,47079.96,NA,112509.12,62477.77,69557.52,10039.38
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,1,145346,-10225,135121,NA,NA,969,961,414,5573,NA,4600,NA,5561,5987,12082,110522,22095,53605,6315,NA,16063,19440,13074,6233
           American Airlines Inc.            ,2014-01-01T00:00:00Z,1,328305,-38909,289396,0,0,2509,747,5062,22998,0,5522,NA,NA,NA,47135,205423,26214,152757,4487,NA,37063,32630,16130,41301
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,1,618654,5058,623712,NA,NA,9859,2399,1988,52257,NA,58,NA,2457,54245,44896,512255,74900,204726,43912,NA,46000,92867,77924,36638
              Spirit Air Lines               ,2010-01-01T00:00:00Z,2,141332,-1749,139583,NA,NA,NA,15842,13533,NA,NA,4337,NA,20179,13533,1075,104796,22066,87729,6222,NA,8732,6776,8957,NA
           American Airlines Inc.            ,2012-01-01T00:00:00Z,2,953935,10291,964226,0,0,4996,2949,21733,46016,0,19468,NA,NA,NA,164965,704099,85466,371060,100664,NA,91436,93967,49060,118858
            Alaska Airlines Inc.             ,2002-01-01T00:00:00Z,4,437823,-48065,389758,1639,NA,3651,-556,1606,11992,923,6710,1639,6154,13598,20114,343679,86329,152257,24161,NA,59516,45435,42683,2142
         Federal Express Corporation         ,2011-01-01T00:00:00Z,1,906484,-66767,839717,NA,2513,254,1415,NA,610682,NA,NA,NA,NA,NA,224853,NA,113668,287770,102219,NA,93492,NA,26265,244177
         Federal Express Corporation         ,2011-01-01T00:00:00Z,3,976526,-69756,906770,NA,4676,56,1887,NA,650517,NA,NA,NA,NA,NA,249634,NA,120117,317065,117575,NA,85728,NA,25525,270460
         Federal Express Corporation         ,2011-01-01T00:00:00Z,4,977439,-71670,905769,NA,139,185,1591,NA,645741,NA,NA,NA,NA,NA,258113,NA,120415,318681,113249,NA,74353,NA,31119,280483
            United Air Lines Inc.            ,2001-01-01T00:00:00Z,1,564121,-50828,513293,NA,NA,5818,2819,853,38158,NA,68,NA,2887,39011,52709,412868,81045,166567,30923,NA,51888,91293,69739,37387
           American Airlines Inc.            ,2018-01-01T00:00:00Z,4,1257039.23,-46325.8,1210713.42,0,0,15677.64,94456.99,41337.22,101298.63,0,27320.77,NA,NA,NA,25385.51,905236.68,152307.93,515426.91,185220.66,0,149495.94,119301.24,63967.82,5432.63
            Delta Air Lines Inc.             ,2011-01-01T00:00:00Z,4,1442940,13047,1455987,0,0,11720,80489,0,86124,0,31165,NA,NA,NA,62418,1184071,201368,593831,50891,NA,83313,93154,100948,258091
            United Air Lines Inc.            ,2001-01-01T00:00:00Z,4,470716,-123721,346995,363,NA,6921,1588,638,29353,NA,48,363,1636,29991,36092,271992,82660,142376,15005,NA,37704,84816,44616,25845
         Federal Express Corporation         ,2011-01-01T00:00:00Z,2,1002752,-67768,934984,NA,3140,289,1800,NA,675108,NA,NA,NA,NA,NA,254648,NA,119412,334213,116570,NA,88783,NA,29097,274910
           American Airlines Inc.            ,2005-01-01T00:00:00Z,2,3377787,26867,3404654,2385,NA,10006,15435,12616,33734,NA,NA,2385,15435,46350,544084,2786394,550534,1239846,163216,NA,334281,302419,269870,368490
           American Airlines Inc.            ,2017-01-01T00:00:00Z,1,853786.8,-43457.93,810328.87,0,0,12178.21,7244.78,27173.81,62885.77,0,21993.72,NA,NA,NA,71005.28,607847.29,119249.65,321532.93,126060.81,0,111752.52,82105.03,43870.11,3454.52
            Delta Air Lines Inc.             ,2000-01-01T00:00:00Z,1,474787,-69454,405333,NA,NA,3023,1230,468,38805,NA,NA,NA,1230,39273,45347,316460,69721,159329,24052,NA,33450,80249,40198,27118
           American Airlines Inc.            ,2005-01-01T00:00:00Z,4,242575,-37965,204610,NA,NA,1747,775,919,24207,NA,NA,NA,775,25126,30999,145963,22074,88295,35132,NA,16784,26219,13375,26481
            Alaska Airlines Inc.             ,2004-01-01T00:00:00Z,4,540307,-56687,483620,1044,NA,8131,2758,2778,11096,1645,7657,1044,10415,13874,27835,420676,108271,219716,42423,NA,46232,45177,44582,4135
            Delta Air Lines Inc.             ,2005-01-01T00:00:00Z,1,210455,-7606,202849,NA,NA,175,-3555,196,10346,NA,863,NA,-2692,10542,17802,177022,31708,77694,12606,NA,16004,17552,17785,19752
            Delta Air Lines Inc.             ,2009-01-01T00:00:00Z,2,373021,-35290,337731,NA,NA,413,15207,319,10540,NA,8464,NA,23671,10859,32825,269963,41028,142647,17365,NA,28527,24121,20598,74523
            United Air Lines Inc.            ,2018-01-01T00:00:00Z,2,838107.16,-250.31,837856.86,225.35,NA,347.5,112.04,19808.07,21131.84,NA,14822.12,NA,NA,NA,98382.77,683027.18,152900.96,304428.97,71380.53,NA,67455.26,77625.05,51722.85,64446.59
              Spirit Air Lines               ,2018-01-01T00:00:00Z,1,683499.94,-35693.01,647806.94,0,0,0,144250.91,132797.58,0,0,14917.27,NA,NA,NA,1223.78,354617.4,49975.08,308625.93,183593.3,0,41331.41,35571.36,28180.15,0
               JetBlue Airways               ,2005-01-01T00:00:00Z,4,463668.44,-17676.21,445992.23,NA,NA,864.83,NA,1557.53,207.72,NA,8982.25,NA,8982.25,1765.24,13421.92,420957.98,80835.15,217685.68,26231.25,NA,37511.78,32220.96,32126.26,2949.35
            United Air Lines Inc.            ,2001-01-01T00:00:00Z,2,668527,-41144,627383,NA,NA,7055,4177,943,38664,NA,44,NA,4221,39607,61331,515169,91328,202864,35933,NA,65427,107359,78061,48068
           American Airlines Inc.            ,2008-01-01T00:00:00Z,4,3197897,25202,3223099,5336,NA,16682,10728,68400,38641,NA,68809,5336,79537,107041,510740,2503763,546560,1361543,307064,NA,334362,244995,-89546,359050
           American Airlines Inc.            ,2002-01-01T00:00:00Z,3,683004,-52598,630406,696,NA,2154,2448,2102,28057,NA,NA,696,2448,30159,29439,565510,121829,200437,61432,NA,72062,93885,85491,4586
           American Airlines Inc.            ,2011-01-01T00:00:00Z,1,304551,-31602,272949,0,0,995,773,6204,29828,0,5579,NA,NA,NA,42775,186795,29444,122652,17223,NA,34743,30650,19425,33508
            Alaska Airlines Inc.             ,2003-01-01T00:00:00Z,1,437136,-52126,385010,1164,18,4792,117,1093,11662,920,6573,1182,6690,12755,21728,336943,86607,160987,21224,NA,55824,42538,42320,2339
         Federal Express Corporation         ,2010-01-01T00:00:00Z,3,874001,-58440,815561,NA,18616,166,440,NA,559596,NA,NA,18616,440,559596,236743,NA,185374,184048,108006,NA,70877,NA,32854,265587
            Delta Air Lines Inc.             ,2010-01-01T00:00:00Z,2,422555,-17522,405033,NA,NA,NA,11993,NA,13599,NA,9946,NA,21939,13599,28323,341172,54302,180733,15752,NA,34965,27065,26187,54277
            United Air Lines Inc.            ,2013-01-01T00:00:00Z,1,1403763,-25392,1378371,0,0,5712,2824,27922,60377,0,32856,NA,NA,NA,105420,1143260,202299,639843,107777,NA,104564,149039,89280,34416
            Alaska Airlines Inc.             ,2004-01-01T00:00:00Z,1,490703,-49594,441109,1479,NA,4277,1171,2119,12276,1403,7763,1479,8934,14395,22884,387737,103751,181030,24830,NA,58971,42652,46262,3979
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,3,466261,27967,494228,16285,NA,12835,3541,1556,21870,NA,51,16285,3592,23426,35866,402224,75455,137053,23765,NA,45127,75693,44593,27312
              Spirit Air Lines               ,2008-01-01T00:00:00Z,3,188068,-30738,157330,NA,NA,NA,25713,NA,NA,NA,4005,NA,29718,NA,NA,127612,22585,121931,21483,NA,6491,6361,8136,NA
           American Airlines Inc.            ,2012-01-01T00:00:00Z,3,387620,-21229,366391,0,0,2353,1037,7422,27961,0,6937,NA,NA,NA,57457,263224,28350,160143,40235,NA,40087,35350,20140,45546
           American Airlines Inc.            ,2012-01-01T00:00:00Z,4,374846,-52455,322391,0,0,2727,833,6584,30100,0,6424,NA,NA,NA,52367,223356,28721,171721,17636,NA,40898,35982,16829,45242
           American Airlines Inc.            ,2014-01-01T00:00:00Z,3,468769,-22458,446311,0,0,4134,1167,9296,29640,0,8585,NA,NA,NA,74491,318998,29742,201200,39534,NA,54096,41547,21312,57330
         Federal Express Corporation         ,2010-01-01T00:00:00Z,4,927764,-52663,875101,NA,18406,321,1275,NA,597278,NA,NA,NA,NA,NA,257821,NA,193401,200723,113841,NA,69083,NA,36589,287837
            Delta Air Lines Inc.             ,2013-01-01T00:00:00Z,2,552197,-22775,529422,0,0,0,26140,0,13757,0,12372,NA,NA,NA,33496,443657,70066,238066,14654,NA,48161,34305,32276,82639
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,2,124564,-11158,113406,NA,NA,-95,3499,85,11679,NA,158,NA,3657,11764,15294,82786,12551,57003,4467,NA,8569,6530,6676,21410
           American Airlines Inc.            ,2009-01-01T00:00:00Z,3,881163,-14120,867043,NA,NA,4863,3522,19718,39999,NA,19871,NA,23393,59717,139065,640005,106748,297941,87689,NA,92662,103482,51517,94857
            United Air Lines Inc.            ,2018-01-01T00:00:00Z,2,1224229.81,60100.55,1284330.36,5290.67,NA,11400.35,126.7,30171.74,115464.16,NA,22511.92,NA,NA,NA,59419.3,1039945.51,159333.35,516311.35,127883.49,NA,80243.8,154629.85,75245.23,21059.95
            United Air Lines Inc.            ,2009-01-01T00:00:00Z,1,496434,15373,511807,298,NA,8325,933,2094,34499,NA,123,298,1056,36593,33256,432279,74770,192171,32426,NA,63020,67836,26084,6507
            Delta Air Lines Inc.             ,2001-01-01T00:00:00Z,4,152745,-30955,121790,NA,NA,322,-60,153,8455,NA,NA,NA,-60,8608,10090,102830,28603,46714,8191,NA,14774,17469,15567,7801
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,1,674712,-15751,658961,2093,NA,10276,862,2226,62638,NA,111,2093,973,64864,35153,545602,91044,310376,43306,NA,70250,72383,43868,7192
         Federal Express Corporation         ,2009-01-01T00:00:00Z,3,782347,-57106,725241,NA,10341,197,1544,NA,484156,NA,NA,10341,1544,484156,229003,NA,174994,159672,93421,NA,45011,NA,25056,257469
              Spirit Air Lines               ,2006-01-01T00:00:00Z,4,150400.47,-25119.14,125281.33,408.14,NA,-123.87,8433.34,NA,66.31,NA,NA,408.14,8433.34,66.31,NA,116497.41,21043.73,92260.03,5293.07,NA,14805.94,5946.3,9724.01,NA
           American Airlines Inc.            ,2010-01-01T00:00:00Z,1,248659,-27356,221303,NA,NA,1057,718,5089,26006,NA,4528,NA,5246,31095,32338,151567,25595,91382,20916,NA,28684,26761,14713,25885
           American Airlines Inc.            ,2000-01-01T00:00:00Z,1,462352,1279,463631,NA,NA,6596,2201,1002,35631,NA,NA,NA,2201,36633,24044,394157,85812,129243,20609,NA,49582,83490,54032,4890
         Federal Express Corporation         ,2000-01-01T00:00:00Z,1,295421,10055,305476,NA,1498,96,5589,NA,172957,NA,NA,1498,5589,172957,125336,NA,50312,56620,15921,NA,22651,NA,12768,121187
         Federal Express Corporation         ,2000-01-01T00:00:00Z,4,455026,-21935,433091,NA,22087,3287,7057,NA,299771,NA,NA,22087,7057,299771,100889,NA,92351,125145,51308,NA,41124,NA,17068,105638
            Alaska Airlines Inc.             ,2006-01-01T00:00:00Z,3,716071,-16814,699257,1449,NA,8035,3381,4332,14501,1634,12176,1449,15557,18833,31261,622488,110590,295152,113582,NA,57224,50394,51386,4915
            United Air Lines Inc.            ,2000-01-01T00:00:00Z,1,427612,18207,445819,NA,NA,6004,2240,719,32602,NA,24,NA,2264,33321,34741,369489,74118,116803,34493,NA,34551,59233,61343,17107
           American Airlines Inc.            ,2001-01-01T00:00:00Z,1,501618,-6711,494907,NA,NA,5797,2038,1158,39745,NA,NA,NA,2038,40903,21197,424972,90800,142832,27888,NA,54310,85608,51781,8447
            Delta Air Lines Inc.             ,2001-01-01T00:00:00Z,1,473001,-28037,444964,NA,NA,8782,-505,664,41037,NA,NA,NA,-505,41701,32614,362372,85005,175173,26848,NA,36545,55038,49234,23587
         Federal Express Corporation         ,2001-01-01T00:00:00Z,1,341614,-15025,326589,NA,1291,49,7558,NA,198099,NA,NA,1291,7558,198099,119592,NA,53167,72993,29136,NA,32405,NA,14837,125094
         Federal Express Corporation         ,2002-01-01T00:00:00Z,1,369214,6596,375810,NA,1712,1211,7372,NA,241745,NA,NA,1712,7372,241745,123770,NA,53852,68007,53522,NA,53604,NA,12208,114569
           American Airlines Inc.            ,2003-01-01T00:00:00Z,1,460680,-15488,445192,24396,NA,6487,1862,1373,33960,NA,NA,24396,1862,35333,52665,324449,60481,125890,24469,NA,41473,89066,37833,42957
         Federal Express Corporation         ,2003-01-01T00:00:00Z,1,418103,21711,439814,NA,9833,3981,9373,NA,287853,NA,NA,9833,9373,287853,128774,NA,67148,84019,57674,NA,59606,NA,14785,119257
           American Airlines Inc.            ,2004-01-01T00:00:00Z,1,436380,79835,516215,12914,NA,7699,2234,1665,37853,NA,NA,12914,2234,39518,67489,386361,52373,122938,767,NA,51677,79545,43069,49465
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,1,463401,-32179,431222,NA,NA,5785,-9744,581,42463,NA,909,NA,-8835,43044,42187,349041,72153,179401,25934,NA,34629,41825,36886,33172
         Federal Express Corporation         ,2004-01-01T00:00:00Z,1,463071,15976,479047,NA,4276,2072,10417,NA,326191,NA,NA,4276,10417,326191,136091,NA,85190,91558,48769,NA,76412,NA,17946,128819
           American Airlines Inc.            ,2005-01-01T00:00:00Z,1,556020,43306,599326,19764,NA,8890,2249,2080,39738,NA,NA,19764,2249,41818,82303,444302,81261,178634,32823,NA,37125,80458,45746,62131
         Federal Express Corporation         ,2005-01-01T00:00:00Z,1,519459,39310,558769,NA,7419,2856,483,NA,386910,NA,NA,7419,483,386910,161101,NA,100919,115476,52104,NA,71547,NA,19918,145836
           American Airlines Inc.            ,2006-01-01T00:00:00Z,1,656931,9339,666270,2362,NA,7621,2494,3257,51737,NA,NA,2362,2494,54994,99879,498920,81030,236657,43562,NA,51253,83859,45057,77156
         Federal Express Corporation         ,2006-01-01T00:00:00Z,1,582866,31618,614484,NA,18,1839,959,NA,448728,NA,NA,18,959,448728,162940,NA,108630,146532,63182,NA,78705,NA,21924,149618
            United Air Lines Inc.            ,2006-01-01T00:00:00Z,1,492659,-11006,481653,6856,NA,8784,897,1531,39690,NA,131,6856,1028,41221,41558,382206,69978,182871,33935,NA,62109,60708,30512,22468
           American Airlines Inc.            ,2007-01-01T00:00:00Z,1,657922,52395,710317,NA,NA,7660,2339,3588,55706,NA,NA,NA,2339,59294,102972,538052,83008,231838,49113,NA,46040,84993,45915,78578
         Federal Express Corporation         ,2007-01-01T00:00:00Z,1,790153,30762,820915,NA,5741,1364,1873,NA,507036,NA,NA,5741,1873,507036,304901,NA,136405,151494,85756,NA,90590,NA,18576,287692
            United Air Lines Inc.            ,2007-01-01T00:00:00Z,1,500366,47396,547762,719,NA,9518,863,1356,48543,NA,142,719,1005,49899,35882,450739,80845,190315,36487,NA,58908,63226,29951,8923
         Federal Express Corporation         ,2008-01-01T00:00:00Z,1,921200,-4459,916741,NA,23690,2222,1979,NA,555595,NA,NA,23690,1979,555595,333255,NA,176348,215607,90584,NA,38145,NA,27789,349170
         Federal Express Corporation         ,2009-01-01T00:00:00Z,1,740811,-48388,692423,NA,14970,2511,1362,NA,443384,NA,NA,14970,1362,443384,230196,NA,149400,151654,90090,NA,41811,NA,23607,258617
         Federal Express Corporation         ,2010-01-01T00:00:00Z,1,800456,8052,808508,NA,22252,160,1073,NA,534960,NA,NA,NA,NA,NA,250063,NA,173914,158373,96639,NA,54917,NA,30940,260583
            United Air Lines Inc.            ,2010-01-01T00:00:00Z,1,575260,54391,629651,1682,NA,3908,1044,2870,46788,NA,123,1682,1167,49658,36540,536696,83173,239123,40782,NA,62660,73395,33657,6145
            United Air Lines Inc.            ,2011-01-01T00:00:00Z,1,672679.11,19109.86,691788.97,1355.24,0,3244.27,1476,2574.82,62058.3,0,357.37,NA,NA,NA,43558.71,577164.27,92858.92,290787.14,54460.51,NA,70606.43,77558.77,33450.41,11119.88
            Delta Air Lines Inc.             ,2013-01-01T00:00:00Z,1,1130834,106976,1237810,0,0,11779,80114,0,74239,0,29404,NA,NA,NA,43346,998928,183674,605088,23046,NA,99445,82270,78168,3195
           American Airlines Inc.            ,2014-01-01T00:00:00Z,1,725640,12083,737723,148,0,5334,1936,13112,48692,0,14303,NA,NA,NA,122092,532106,79781,303647,22641,NA,68799,79699,38695,98543
            Delta Air Lines Inc.             ,2014-01-01T00:00:00Z,1,1053621,159864,1213485,0,0,12075,80283,0,70329,0,30681,NA,NA,NA,46791,973326,179302,538760,26303,NA,88277,82352,77304,3019
           American Airlines Inc.            ,2015-01-01T00:00:00Z,1,679117.53,61088.65,740206.18,541.48,0,5987.77,9856.17,16592.57,56426.56,0,17172.78,NA,NA,NA,120747.53,512881.33,65957.22,237029.27,101141.88,0,72077.39,50846.19,34021.48,89859.77
            Delta Air Lines Inc.             ,2015-01-01T00:00:00Z,1,1033423,221111,1254534,0,0,9978,87002,0,63721,0,30145,NA,NA,NA,91969,971719,178021,473727,40372,NA,85726,88346,78088,29569
            United Air Lines Inc.            ,2015-01-01T00:00:00Z,1,1232399.55,208399.85,1440799.4,0,0,7698.22,3018.33,30059.65,71546.08,0,39674.33,NA,NA,NA,108318.74,1180484.06,174698.36,484422.54,112622.13,NA,125988.45,157112.98,67934.69,28865.58
           American Airlines Inc.            ,2016-01-01T00:00:00Z,1,995474.47,69018.2,1064492.67,0,0,9313.88,12532.5,28300.28,55868.67,0,25480,NA,NA,NA,238671.49,694325.85,117713.05,287606.01,127675.39,0,104716.97,84221.25,47891.24,181331.74
            Delta Air Lines Inc.             ,2016-01-01T00:00:00Z,1,900346,203495,1103841,0,0,7507,87180,0,44728,0,27772,NA,NA,NA,37748,898906,170904,335053,62847,NA,88277,85625,74442,25541
            United Air Lines Inc.            ,2016-01-01T00:00:00Z,1,1115069.82,92721.71,1207791.53,NA,NA,8011.56,2532.32,29547.16,64196.7,NA,34928.61,NA,NA,NA,28862.48,1039712.71,177644.03,361625.58,131464.39,NA,122116.29,148916.47,59968.35,25867.9
            Delta Air Lines Inc.             ,2017-01-01T00:00:00Z,1,891923,164900,1056823,0,0,6258,88990,0,49420,0,26115,NA,NA,NA,17702,868338,170053,344683,42156,NA,92676,91615,75411,13884
            United Air Lines Inc.            ,2017-01-01T00:00:00Z,1,1138162.87,71105.72,1209268.59,NA,NA,7514.18,569.29,29786.28,63421.67,NA,32775.02,NA,NA,NA,26752.26,1048449.89,174193.03,404014.26,92686.18,NA,120417.97,161041.13,67976.27,28106.42
            Delta Air Lines Inc.             ,2018-01-01T00:00:00Z,1,1054518,202730,1257248,0,0,6639,105653,11916,75202,0,19165,NA,NA,NA,16618.39,1022054.62,161189,419776,97748,NA,95716,106890,89971,12576
            United Air Lines Inc.            ,2018-01-01T00:00:00Z,1,1240079.54,148966.43,1389045.97,NA,NA,6864.31,740.23,36074.03,95307.9,NA,32143.21,NA,NA,NA,40400.07,1177516.22,189591.13,471596.79,87909.68,NA,114738.18,168941.97,79114.44,19815.58
            Delta Air Lines Inc.             ,2019-01-01T00:00:00Z,1,1033444,214960,1248404,0,0,6158,123472,17503,70501,0,16734,NA,NA,NA,2167.41,1011868.59,196886,448450,52763,NA,71799,106841,85986,1539
            United Air Lines Inc.            ,2019-01-01T00:00:00Z,1,1295441.7,162900.73,1458342.43,193.22,NA,8039.76,333.03,44492.6,88056.16,NA,27503.54,NA,NA,NA,38700.9,1251023.22,199808.6,488825.34,94221.28,NA,108043.91,185334.73,85696.78,23475.34
           American Airlines Inc.            ,2000-01-01T00:00:00Z,1,2793969,123282,2917251,647,NA,25771,24307,4455,44000,NA,NA,647,24307,48455,161608,2656463,487230,840037,114121,NA,396686,336199,418537,29548
            Delta Air Lines Inc.             ,2000-01-01T00:00:00Z,1,2669140,342964,3012104,3874,NA,37965,68184,5781,45962,NA,NA,3874,68184,51743,77937,2772401,520363,764498,143584,NA,294125,289788,401364,36266
         Federal Express Corporation         ,2000-01-01T00:00:00Z,1,2813474,153888,2967362,NA,9102,1372,147731,NA,1045172,NA,NA,9102,147731,1045172,1763985,NA,201434,412194,106638,NA,238210,NA,54681,1669418
               JetBlue Airways               ,2000-01-01T00:00:00Z,1,14753.4,-8284.64,6468.76,NA,NA,NA,8.63,2.66,NA,NA,149.88,NA,158.52,2.66,NA,6307.59,2609.19,3702.16,3433.81,NA,958.4,930.66,2758.98,NA
           Southwest Airlines Co.            ,2000-01-01T00:00:00Z,1,1087164,155498,1242662,5294,NA,11424,23045,545,15642,NA,NA,5294,23045,16187,2561,1184151,177603,360500,133557,NA,125610,69406,148714,4115
              Spirit Air Lines               ,2000-01-01T00:00:00Z,1,78912.57,2636.05,81548.62,4647.74,NA,6.45,6428.39,NA,10.2,NA,NA,4647.74,6428.39,10.2,NA,70455.84,11805.54,31185.73,1923.3,NA,15331.36,4628.64,9245.75,NA
            Alaska Airlines Inc.             ,2001-01-01T00:00:00Z,1,407404,-24202,383202,1144,NA,4550,-321,843,12951,330,6838,1144,6517,13794,16994,339873,75042,147846,24821,NA,47120,36879,52392,2586
         Federal Express Corporation         ,2001-01-01T00:00:00Z,1,2755472,217788,2973260,NA,6303,1314,137807,NA,1047773,NA,NA,6303,137807,1047773,1780063,NA,203759,419795,155360,NA,211579,NA,13495,1650547
               JetBlue Airways               ,2001-01-01T00:00:00Z,1,55253.98,8595.87,63849.85,NA,NA,174,NA,124.68,NA,NA,1432.09,NA,1432.09,124.68,157.69,61961.39,11499.61,19661.85,7835.64,NA,2422.77,3612.63,8091.22,NA
           Southwest Airlines Co.            ,2001-01-01T00:00:00Z,1,1218721,209911,1428632,6908,NA,10699,31614,616,15082,NA,NA,6908,31614,15698,2947,1360766,212782,409115,136262,NA,137568,82148,156763,6431
              Spirit Air Lines               ,2001-01-01T00:00:00Z,1,92424.47,6606.38,99030.84,1371.99,NA,29.93,5747.28,NA,41.83,NA,NA,1371.99,5747.28,41.83,NA,91839.81,16365.5,37578.06,2368.82,NA,16048.99,5609.96,11030.73,NA
            Alaska Airlines Inc.             ,2002-01-01T00:00:00Z,1,410113,-36043,374070,1250,NA,4491,-262,1043,10874,1553,6899,1250,6637,11917,20775,327447,82239,134802,21225,NA,51651,42347,49765,3474
         Federal Express Corporation         ,2002-01-01T00:00:00Z,1,2760702,36606,2797308,NA,5482,2148,103995,NA,1136399,NA,NA,5482,103995,1136399,1549284,NA,228492,458935,157598,NA,271590,NA,13877,1523029
               JetBlue Airways               ,2002-01-01T00:00:00Z,1,109991.27,23377.79,133369.07,NA,NA,340.36,NA,286.02,34.1,NA,2815.42,NA,2815.42,320.11,802.37,129090.81,26571.61,36940.91,9777.94,NA,6519.41,11066.85,14402.15,NA
           Southwest Airlines Co.            ,2002-01-01T00:00:00Z,1,1207650,49608,1257258,4551,NA,6135,38299,593,14658,NA,NA,4551,38299,15251,3212,1189810,255149,377101,105347,NA,138382,109329,134632,3154
              Spirit Air Lines               ,2002-01-01T00:00:00Z,1,89569.38,3587.78,93157.16,1844.88,NA,22.66,4651.42,NA,33.98,NA,NA,1844.88,4651.42,33.98,NA,86604.23,15554.52,31388.84,4032.2,NA,16061.85,6677.74,11426.02,NA
         Federal Express Corporation         ,2003-01-01T00:00:00Z,1,2880258,35255,2915513,NA,4954,2041,140882,NA,1182541,NA,NA,4954,140882,1182541,1585095,NA,238061,521508,150304,NA,291010,NA,15120,1561500
               JetBlue Airways               ,2003-01-01T00:00:00Z,1,182616.89,34513.14,217130.03,28.5,NA,389.14,NA,465.2,164.94,NA,4473.39,28.5,4473.39,630.14,1705.46,209903.41,38553.49,72561.16,14461.21,NA,11806.98,17149.32,17517.4,245.81
           Southwest Airlines Co.            ,2003-01-01T00:00:00Z,1,1305783,45478,1351261,3354,NA,5328,45513,617,16654,NA,NA,3354,45513,17271,3020,1276775,265734,452850,82013,NA,166573,105155,136456,3287
              Spirit Air Lines               ,2003-01-01T00:00:00Z,1,116840.33,1213,118053.33,53.18,NA,71,1755.97,NA,83.37,NA,NA,53.18,1755.97,83.37,NA,116089.81,19997.71,49587.48,3305.65,NA,20162.22,6447.81,13806.1,NA
         Federal Express Corporation         ,2004-01-01T00:00:00Z,1,3064356,216549,3280905,NA,9120,1670,-5245,NA,1504262,NA,NA,9120,-5245,1504262,1771098,NA,251950,539017,202745,NA,300022,NA,14755,1651255
               JetBlue Airways               ,2004-01-01T00:00:00Z,1,256309.25,32693.51,289002.76,NA,NA,273.79,NA,656.23,184.39,NA,5747,NA,5747,840.62,2525.44,279615.91,54002.01,97487.86,18669.25,NA,25235.32,22747.11,21461.05,390.94
           Southwest Airlines Co.            ,2004-01-01T00:00:00Z,1,1437553,46433,1483986,4436,NA,4411,60631,712,20908,NA,NA,4436,60631,21620,3036,1389852,291846,492297,98908,NA,176309,114873,157358,3006
              Spirit Air Lines               ,2004-01-01T00:00:00Z,1,128513.25,2554.88,131068.13,24.48,NA,65.09,4033.54,NA,54.57,NA,NA,24.48,4033.54,54.57,NA,126890.45,23317.76,53631.81,4221.71,NA,21764.76,6179.14,15300.54,NA
         Federal Express Corporation         ,2005-01-01T00:00:00Z,1,3344927,184096,3529023,NA,9175,997,4439,NA,1687492,NA,NA,9175,4439,1687492,1826920,NA,264310,628951,226892,NA,353781,NA,29966,1736386
